intersection_id,plz,wkr_nr,wkr_name,land_nr,land_name,prop_overlap
01067_158,01067,158,Dresden I,14,Sachsen,1
01069_158,01069,158,Dresden I,14,Sachsen,1
01097_159,01097,159,Dresden II – Bautzen II,14,Sachsen,1
01099_159,01099,159,Dresden II – Bautzen II,14,Sachsen,1
01108_159,01108,159,Dresden II – Bautzen II,14,Sachsen,0.986
01109_159,01109,159,Dresden II – Bautzen II,14,Sachsen,0.995
01127_159,01127,159,Dresden II – Bautzen II,14,Sachsen,1
01129_159,01129,159,Dresden II – Bautzen II,14,Sachsen,0.993
01139_159,01139,159,Dresden II – Bautzen II,14,Sachsen,0.991
01156_159,01156,159,Dresden II – Bautzen II,14,Sachsen,0.99
01157_159,01157,159,Dresden II – Bautzen II,14,Sachsen,0.986
01159_159,01159,159,Dresden II – Bautzen II,14,Sachsen,0.713
01169_159,01169,159,Dresden II – Bautzen II,14,Sachsen,0.988
01187_158,01187,158,Dresden I,14,Sachsen,0.545
01189_158,01189,158,Dresden I,14,Sachsen,0.983
01217_158,01217,158,Dresden I,14,Sachsen,0.97
01219_158,01219,158,Dresden I,14,Sachsen,0.997
01237_158,01237,158,Dresden I,14,Sachsen,1
01239_158,01239,158,Dresden I,14,Sachsen,0.979
01257_158,01257,158,Dresden I,14,Sachsen,0.99
01259_158,01259,158,Dresden I,14,Sachsen,0.99
01277_158,01277,158,Dresden I,14,Sachsen,1
01279_158,01279,158,Dresden I,14,Sachsen,1
01307_158,01307,158,Dresden I,14,Sachsen,1
01309_158,01309,158,Dresden I,14,Sachsen,1
01324_159,01324,159,Dresden II – Bautzen II,14,Sachsen,1
01326_159,01326,159,Dresden II – Bautzen II,14,Sachsen,0.997
01328_159,01328,159,Dresden II – Bautzen II,14,Sachsen,0.998
01445_154,01445,154,Meißen,14,Sachsen,0.988
01454_159,01454,159,Dresden II – Bautzen II,14,Sachsen,0.997
01458_159,01458,159,Dresden II – Bautzen II,14,Sachsen,0.997
01465_159,01465,159,Dresden II – Bautzen II,14,Sachsen,1
01468_154,01468,154,Meißen,14,Sachsen,0.999
01471_154,01471,154,Meißen,14,Sachsen,0.993
01477_159,01477,159,Dresden II – Bautzen II,14,Sachsen,0.996
01558_154,01558,154,Meißen,14,Sachsen,1
01561_154,01561,154,Meißen,14,Sachsen,0.999
01587_154,01587,154,Meißen,14,Sachsen,1
01589_154,01589,154,Meißen,14,Sachsen,1
01591_154,01591,154,Meißen,14,Sachsen,1
01594_154,01594,154,Meißen,14,Sachsen,0.998
01609_154,01609,154,Meißen,14,Sachsen,0.992
01612_154,01612,154,Meißen,14,Sachsen,1
01616_154,01616,154,Meißen,14,Sachsen,0.996
01619_154,01619,154,Meißen,14,Sachsen,0.999
01623_154,01623,154,Meißen,14,Sachsen,1
01640_154,01640,154,Meißen,14,Sachsen,1
01662_154,01662,154,Meißen,14,Sachsen,1
01665_154,01665,154,Meißen,14,Sachsen,0.999
01683_154,01683,154,Meißen,14,Sachsen,0.997
01689_154,01689,154,Meißen,14,Sachsen,1
01705_157,01705,157,Sächsische Schweiz-Osterzgebirge,14,Sachsen,0.997
01723_157,01723,157,Sächsische Schweiz-Osterzgebirge,14,Sachsen,0.989
01728_157,01728,157,Sächsische Schweiz-Osterzgebirge,14,Sachsen,0.996
01731_157,01731,157,Sächsische Schweiz-Osterzgebirge,14,Sachsen,0.999
01734_157,01734,157,Sächsische Schweiz-Osterzgebirge,14,Sachsen,1
01737_157,01737,157,Sächsische Schweiz-Osterzgebirge,14,Sachsen,0.995
01738_157,01738,157,Sächsische Schweiz-Osterzgebirge,14,Sachsen,1
01744_157,01744,157,Sächsische Schweiz-Osterzgebirge,14,Sachsen,1
01762_157,01762,157,Sächsische Schweiz-Osterzgebirge,14,Sachsen,0.991
01768_157,01768,157,Sächsische Schweiz-Osterzgebirge,14,Sachsen,1
01773_157,01773,157,Sächsische Schweiz-Osterzgebirge,14,Sachsen,0.999
01774_157,01774,157,Sächsische Schweiz-Osterzgebirge,14,Sachsen,0.999
01776_157,01776,157,Sächsische Schweiz-Osterzgebirge,14,Sachsen,0.992
01778_157,01778,157,Sächsische Schweiz-Osterzgebirge,14,Sachsen,0.999
01796_157,01796,157,Sächsische Schweiz-Osterzgebirge,14,Sachsen,0.999
01809_157,01809,157,Sächsische Schweiz-Osterzgebirge,14,Sachsen,0.999
01814_157,01814,157,Sächsische Schweiz-Osterzgebirge,14,Sachsen,0.999
01816_157,01816,157,Sächsische Schweiz-Osterzgebirge,14,Sachsen,0.999
01819_157,01819,157,Sächsische Schweiz-Osterzgebirge,14,Sachsen,1
01824_157,01824,157,Sächsische Schweiz-Osterzgebirge,14,Sachsen,1
01825_157,01825,157,Sächsische Schweiz-Osterzgebirge,14,Sachsen,1
01829_157,01829,157,Sächsische Schweiz-Osterzgebirge,14,Sachsen,1
01833_157,01833,157,Sächsische Schweiz-Osterzgebirge,14,Sachsen,0.998
01844_157,01844,157,Sächsische Schweiz-Osterzgebirge,14,Sachsen,0.997
01847_157,01847,157,Sächsische Schweiz-Osterzgebirge,14,Sachsen,1
01848_157,01848,157,Sächsische Schweiz-Osterzgebirge,14,Sachsen,1
01855_157,01855,157,Sächsische Schweiz-Osterzgebirge,14,Sachsen,0.999
01877_155,01877,155,Bautzen I,14,Sachsen,0.999
01896_155,01896,155,Bautzen I,14,Sachsen,0.993
01900_159,01900,159,Dresden II – Bautzen II,14,Sachsen,0.995
01904_155,01904,155,Bautzen I,14,Sachsen,0.999
01906_155,01906,155,Bautzen I,14,Sachsen,1
01909_155,01909,155,Bautzen I,14,Sachsen,0.996
01917_155,01917,155,Bautzen I,14,Sachsen,1
01920_155,01920,155,Bautzen I,14,Sachsen,1
01936_155,01936,155,Bautzen I,14,Sachsen,0.995
01945_065,01945,65,Elbe-Elster – Oberspreewald-Lausitz,12,Brandenburg,0.998
01968_065,01968,65,Elbe-Elster – Oberspreewald-Lausitz,12,Brandenburg,0.999
01979_065,01979,65,Elbe-Elster – Oberspreewald-Lausitz,12,Brandenburg,1
01983_065,01983,65,Elbe-Elster – Oberspreewald-Lausitz,12,Brandenburg,1
01987_065,01987,65,Elbe-Elster – Oberspreewald-Lausitz,12,Brandenburg,1
01990_065,01990,65,Elbe-Elster – Oberspreewald-Lausitz,12,Brandenburg,0.994
01993_065,01993,65,Elbe-Elster – Oberspreewald-Lausitz,12,Brandenburg,1
01994_065,01994,65,Elbe-Elster – Oberspreewald-Lausitz,12,Brandenburg,1
01996_065,01996,65,Elbe-Elster – Oberspreewald-Lausitz,12,Brandenburg,0.997
01998_065,01998,65,Elbe-Elster – Oberspreewald-Lausitz,12,Brandenburg,1
02625_155,02625,155,Bautzen I,14,Sachsen,1
02627_155,02627,155,Bautzen I,14,Sachsen,0.998
02633_155,02633,155,Bautzen I,14,Sachsen,1
02681_155,02681,155,Bautzen I,14,Sachsen,1
02689_155,02689,155,Bautzen I,14,Sachsen,0.998
02692_155,02692,155,Bautzen I,14,Sachsen,1
02694_155,02694,155,Bautzen I,14,Sachsen,0.998
