intersection_id,plz,wkr_nr,wkr_name,land_nr,land_name,prop_overlap
01067_158,01067,158,Dresden I,14,Sachsen,1
01069_158,01069,158,Dresden I,14,Sachsen,1
01097_159,01097,159,Dresden II – Bautzen II,14,Sachsen,1
01099_159,01099,159,Dresden II – Bautzen II,14,Sachsen,1
01108_159,01108,159,Dresden II – Bautzen II,14,Sachsen,0.986
01108_154,01108,154,Meißen,14,Sachsen,0.014
01109_159,01109,159,Dresden II – Bautzen II,14,Sachsen,0.995
01109_154,01109,154,Meißen,14,Sachsen,0.005
01127_159,01127,159,Dresden II – Bautzen II,14,Sachsen,1
01129_159,01129,159,Dresden II – Bautzen II,14,Sachsen,0.993
01129_154,01129,154,Meißen,14,Sachsen,0.007
01139_159,01139,159,Dresden II – Bautzen II,14,Sachsen,0.991
01139_154,01139,154,Meißen,14,Sachsen,0.009
01156_159,01156,159,Dresden II – Bautzen II,14,Sachsen,0.99
01156_157,01156,157,Sächsische Schweiz-Osterzgebirge,14,Sachsen,0.008
01156_154,01156,154,Meißen,14,Sachsen,0.002
01157_159,01157,159,Dresden II – Bautzen II,14,Sachsen,0.986
01157_158,01157,158,Dresden I,14,Sachsen,0.014
01159_159,01159,159,Dresden II – Bautzen II,14,Sachsen,0.713
01159_158,01159,158,Dresden I,14,Sachsen,0.287
01169_159,01169,159,Dresden II – Bautzen II,14,Sachsen,0.988
01169_157,01169,157,Sächsische Schweiz-Osterzgebirge,14,Sachsen,0.012
01187_158,01187,158,Dresden I,14,Sachsen,0.545
01187_159,01187,159,Dresden II – Bautzen II,14,Sachsen,0.45
01187_157,01187,157,Sächsische Schweiz-Osterzgebirge,14,Sachsen,0.005
01189_158,01189,158,Dresden I,14,Sachsen,0.983
01189_157,01189,157,Sächsische Schweiz-Osterzgebirge,14,Sachsen,0.012
01189_159,01189,159,Dresden II – Bautzen II,14,Sachsen,0.005
01217_158,01217,158,Dresden I,14,Sachsen,0.97
01217_157,01217,157,Sächsische Schweiz-Osterzgebirge,14,Sachsen,0.03
01219_158,01219,158,Dresden I,14,Sachsen,0.997
01219_157,01219,157,Sächsische Schweiz-Osterzgebirge,14,Sachsen,0.003
01237_158,01237,158,Dresden I,14,Sachsen,1
01239_158,01239,158,Dresden I,14,Sachsen,0.979
01239_157,01239,157,Sächsische Schweiz-Osterzgebirge,14,Sachsen,0.021
01257_158,01257,158,Dresden I,14,Sachsen,0.99
01257_157,01257,157,Sächsische Schweiz-Osterzgebirge,14,Sachsen,0.01
01259_158,01259,158,Dresden I,14,Sachsen,0.99
01259_157,01259,157,Sächsische Schweiz-Osterzgebirge,14,Sachsen,0.009
01277_158,01277,158,Dresden I,14,Sachsen,1
01279_158,01279,158,Dresden I,14,Sachsen,1
01307_158,01307,158,Dresden I,14,Sachsen,1
01309_158,01309,158,Dresden I,14,Sachsen,1
01324_159,01324,159,Dresden II – Bautzen II,14,Sachsen,1
01326_159,01326,159,Dresden II – Bautzen II,14,Sachsen,0.997
01326_157,01326,157,Sächsische Schweiz-Osterzgebirge,14,Sachsen,0.003
01328_159,01328,159,Dresden II – Bautzen II,14,Sachsen,0.998
01328_157,01328,157,Sächsische Schweiz-Osterzgebirge,14,Sachsen,0.002
01445_154,01445,154,Meißen,14,Sachsen,0.988
01445_159,01445,159,Dresden II – Bautzen II,14,Sachsen,0.012
01454_159,01454,159,Dresden II – Bautzen II,14,Sachsen,0.997
01454_155,01454,155,Bautzen I,14,Sachsen,0.003
01458_159,01458,159,Dresden II – Bautzen II,14,Sachsen,0.997
01458_154,01458,154,Meißen,14,Sachsen,0.002
01458_155,01458,155,Bautzen I,14,Sachsen,0.001
01465_159,01465,159,Dresden II – Bautzen II,14,Sachsen,1
01468_154,01468,154,Meißen,14,Sachsen,0.999
01468_159,01468,159,Dresden II – Bautzen II,14,Sachsen,0.001
01471_154,01471,154,Meißen,14,Sachsen,0.993
01471_159,01471,159,Dresden II – Bautzen II,14,Sachsen,0.006
01471_155,01471,155,Bautzen I,14,Sachsen,0.001
01477_159,01477,159,Dresden II – Bautzen II,14,Sachsen,0.996
01477_157,01477,157,Sächsische Schweiz-Osterzgebirge,14,Sachsen,0.003
01477_155,01477,155,Bautzen I,14,Sachsen,0.001
01558_154,01558,154,Meißen,14,Sachsen,1
01561_154,01561,154,Meißen,14,Sachsen,0.999
01561_065,01561,65,Elbe-Elster – Oberspreewald-Lausitz,12,Brandenburg,0.001
01561_155,01561,155,Bautzen I,14,Sachsen,0.001
01587_154,01587,154,Meißen,14,Sachsen,1
01589_154,01589,154,Meißen,14,Sachsen,1
01591_154,01591,154,Meißen,14,Sachsen,1
01594_154,01594,154,Meißen,14,Sachsen,0.998
01594_150,01594,150,Nordsachsen,14,Sachsen,0.002
01609_154,01609,154,Meißen,14,Sachsen,0.992
01609_065,01609,65,Elbe-Elster – Oberspreewald-Lausitz,12,Brandenburg,0.008
01612_154,01612,154,Meißen,14,Sachsen,1
01616_154,01616,154,Meißen,14,Sachsen,0.996
01616_150,01616,150,Nordsachsen,14,Sachsen,0.003
01619_154,01619,154,Meißen,14,Sachsen,0.999
01619_065,01619,65,Elbe-Elster – Oberspreewald-Lausitz,12,Brandenburg,0.001
01623_154,01623,154,Meißen,14,Sachsen,1
01640_154,01640,154,Meißen,14,Sachsen,1
01662_154,01662,154,Meißen,14,Sachsen,1
01665_154,01665,154,Meißen,14,Sachsen,0.999
01665_157,01665,157,Sächsische Schweiz-Osterzgebirge,14,Sachsen,0.001
01683_154,01683,154,Meißen,14,Sachsen,0.997
01683_160,01683,160,Mittelsachsen,14,Sachsen,0.003
01689_154,01689,154,Meißen,14,Sachsen,1
01705_157,01705,157,Sächsische Schweiz-Osterzgebirge,14,Sachsen,0.997
01705_159,01705,159,Dresden II – Bautzen II,14,Sachsen,0.002
01705_158,01705,158,Dresden I,14,Sachsen,0.001
01723_157,01723,157,Sächsische Schweiz-Osterzgebirge,14,Sachsen,0.989
01723_154,01723,154,Meißen,14,Sachsen,0.008
01723_159,01723,159,Dresden II – Bautzen II,14,Sachsen,0.002
01723_160,01723,160,Mittelsachsen,14,Sachsen,0.001
01728_157,01728,157,Sächsische Schweiz-Osterzgebirge,14,Sachsen,0.996
01728_158,01728,158,Dresden I,14,Sachsen,0.004
01731_157,01731,157,Sächsische Schweiz-Osterzgebirge,14,Sachsen,0.999
01731_158,01731,158,Dresden I,14,Sachsen,0.001
01734_157,01734,157,Sächsische Schweiz-Osterzgebirge,14,Sachsen,1
01737_157,01737,157,Sächsische Schweiz-Osterzgebirge,14,Sachsen,0.995
01737_160,01737,160,Mittelsachsen,14,Sachsen,0.005
01738_157,01738,157,Sächsische Schweiz-Osterzgebirge,14,Sachsen,1
01744_157,01744,157,Sächsische Schweiz-Osterzgebirge,14,Sachsen,1
01762_157,01762,157,Sächsische Schweiz-Osterzgebirge,14,Sachsen,0.991
01762_160,01762,160,Mittelsachsen,14,Sachsen,0.009
01768_157,01768,157,Sächsische Schweiz-Osterzgebirge,14,Sachsen,1
